Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
11:21.1,1.17356,0.804427,0.526156,2.353388,-0.522798,0.393069,5.112061,-3.945946,-42.832947,95.849417,-39.758261,9.030191,1
11:21.2,2.684817,-4.062851,-1.681902,-0.899538,0.647748,-1.07102,7.612076,-4.776871,-43.805359,100.438913,-38.799646,15.463241,1
11:21.3,-0.145198,2.114353,-0.689167,1.429827,-0.044895,-0.207054,4.51136,-11.337509,-43.071625,104.581953,-46.299268,14.175512,1
11:21.4,-4.805307,15.403119,21.648731,-0.569161,-1.286208,0.801154,-1.21254,-5.696236,-42.939545,101.235118,-42.878947,3.472356,1
11:21.5,3.194507,3.689827,12.154275,-0.816701,0.617031,0.616697,-0.247353,9.741791,-40.530731,96.539212,-23.717086,2.639143,1
11:21.6,-0.711321,2.851271,1.931733,-0.930505,1.0127,0.042071,-2.294456,14.738815,-38.575592,97.622519,-15.750025,0.423208,1
11:21.7,0.101489,2.528991,4.584816,0.537574,-1.724173,-0.827648,-7.793221,11.889954,-39.711517,102.563919,-18.968862,-3.744599,1
11:21.8,-5.983657,11.404784,14.865138,1.607567,0.944097,-0.679316,-4.34391,5.50528,-42.133026,106.704048,-26.736,3.246325,1
11:21.9,-1.098865,5.468428,3.663182,5.18116,1.311951,-0.619447,-3.078568,-12.498878,-43.763947,113.944054,-48.667617,9.237936,1
11:22.0,0.369731,-1.104852,0.614472,0.041076,1.610327,0.164304,-2.733765,-15.558891,-42.871918,111.881934,-51.799057,9.135503,1
11:22.1,1.1782,-0.008981,0.906665,-2.425787,-0.842223,1.456349,-5.125893,-6.019478,-44.305573,100.413835,-40.11183,-0.872752,1
11:22.2,8.179141,6.872958,27.333011,-0.856486,-0.022254,0.80943,-6.509064,2.400253,-43.278137,95.425397,-31.888079,-6.240378,1
11:22.3,-0.585433,11.170221,13.384267,-0.863671,1.207545,0.174139,-5.230583,8.12661,-42.448975,95.882717,-26.604494,-3.51846,1
11:22.4,-2.531685,2.589465,-2.427801,0.707022,0.033732,-1.150539,-5.184372,1.856346,-43.89856,102.276836,-32.795651,-0.393376,1
